name,pages,ads,category,issue
Playboy,155,34,Mens,March 2014
Car And Driver,116,53.6,Automotive,April 2014
Cosmopolitan,249,113.3,Womens,April 2014
Maxim,88,15.3,Mens,March 2014
Rolling Stone,75,22,Entertainment,Feburary 2014
Teen Vogue,168,76.6,Teen,March 2014
Macworld,97,29.3,Science & Technology,March 2014
Popular Science,95,39,Science & Technology,March 2014
Travel+Leisure,143,88,Travel,March 2014
Better Homes and Gardens,152,69.3,Home,March 2014
Guns & Ammo,105,54.6,Outdoors,April 2014
Esquire,185,87.5,Mens,March 2014
Runner's World,119,41.3,Fitness,March 2014
